customer_id,name,email,signup_date,city,state
68,Cliente 68,cliente68@email.com,2024-01-04,Sao Paulo,SP
69,Cliente 69,cliente69@email.com,2025-05-27,Curitiba,PR
70,Cliente 70,cliente70@email.com,2025-06-03,Porto Alegre,RS
71,Cliente 71,cliente71@email.com,2024-11-01,Florianopolis,SC
72,Cliente 72,cliente72@email.com,2024-07-22,Rio De Janeiro,RJ
73,Cliente 73,cliente73@email.com,2025-01-17,Porto Alegre,RS
74,Cliente 74,cliente74@email.com,2025-07-06,Porto Alegre,RS
75,Cliente 75,cliente75@email.com,2024-01-01,Rio De Janeiro,RJ
76,Cliente 76,cliente76@email.com,2024-11-27,Rio De Janeiro,RJ
77,Cliente 77,cliente77@email.com,2024-01-20,Sao Paulo,SP
78,Cliente 78,cliente78@email.com,2025-01-06,Florianopolis,SC
79,Cliente 79,cliente79@email.com,2024-09-02,Curitiba,PR
80,Cliente 80,cliente80@email.com,2024-09-03,Florianopolis,SC
81,Cliente 81,cliente81@email.com,2024-03-21,Rio De Janeiro,RJ
82,Cliente 82,cliente82@email.com,2025-05-12,Florianopolis,SC
83,Cliente 83,cliente83@email.com,2025-06-29,Florianopolis,SC
84,Cliente 84,cliente84@email.com,2024-05-11,Porto Alegre,RS
85,Cliente 85,cliente85@email.com,2025-07-16,Sao Paulo,SP
86,Cliente 86,cliente86@email.com,2024-09-28,Porto Alegre,RS
87,Cliente 87,cliente87@email.com,2025-03-09,Rio De Janeiro,RJ
88,Cliente 88,cliente88@email.com,2025-07-06,Porto Alegre,RS
89,Cliente 89,cliente89@email.com,2024-11-15,Porto Alegre,RS
90,Cliente 90,cliente90@email.com,2025-01-17,Sao Paulo,SP
91,Cliente 91,cliente91@email.com,2025-06-13,Sao Paulo,SP
92,Cliente 92,cliente92@email.com,2024-05-03,Sao Paulo,SP
93,Cliente 93,cliente93@email.com,2024-08-18,Porto Alegre,RS
94,Cliente 94,cliente94@email.com,2024-12-12,Florianopolis,SC
95,Cliente 95,cliente95@email.com,2025-07-21,Florianopolis,SC
96,Cliente 96,cliente96@email.com,2024-08-13,Porto Alegre,RS
97,Cliente 97,cliente97@email.com,2024-03-13,Florianopolis,SC
98,Cliente 98,cliente98@email.com,2024-08-22,Florianopolis,SC
99,Cliente 99,cliente99@email.com,2024-02-02,Florianopolis,SC
100,Cliente 100,cliente100@email.com,2024-03-13,Curitiba,PR
